stop_id,north_direction_name,south_direction_name
634,Uptown and The Bronx,Downtown and Brooklyn
635,Uptown and The Bronx,Downtown and Brooklyn
636,Uptown and The Bronx,Downtown and Brooklyn
637,Uptown and The Bronx,Downtown and Brooklyn
638,Uptown and The Bronx,Downtown and Brooklyn
639,Uptown and The Bronx,Downtown and Brooklyn
640,Uptown and The Bronx,Downtown and Brooklyn
701,Flushing - Main St,Manhattan
702,Flushing - Main St,Manhattan
705,Flushing - Main St,Manhattan
706,Flushing - Main St,Manhattan
707,Flushing - Main St,Manhattan
708,Flushing - Main St,Manhattan
709,Flushing - Main St,Manhattan
710,Flushing - Main St,Manhattan
711,Flushing - Main St,Manhattan
712,Flushing - Main St,Manhattan
713,Flushing - Main St,Manhattan
714,Flushing - Main St,Manhattan
715,Flushing - Main St,Manhattan
716,Flushing - Main St,Manhattan
718,Flushing - Main St,Manhattan
719,Flushing - Main St,Manhattan
720,Flushing - Main St,Manhattan
721,Flushing - Main St,Manhattan
723,Queens,34 St - Hudson Yards
724,Queens,34 St - Hudson Yards
725,Queens,34 St - Hudson Yards
726,Queens,34 St - Hudson Yards
901,Grand Central,Times Square
902,Grand Central,Times Square
A02,Inwood - 207 St,Downtown and Brooklyn
A03,Inwood - 207 St,Downtown and Brooklyn
A05,Inwood - 207 St,Downtown and Brooklyn
A06,Inwood - 207 St,Downtown and Brooklyn
A07,Inwood - 207 St,Downtown and Brooklyn
A09,Inwood - 207 St,Downtown and Brooklyn
A10,Inwood - 207 St,Downtown and Brooklyn
A11,Inwood - 207 St,Downtown and Brooklyn
A12,Uptown and The Bronx,Downtown and Brooklyn
A14,Uptown and The Bronx,Downtown and Brooklyn
A15,Uptown and The Bronx,Downtown and Brooklyn
A16,Uptown and The Bronx,Downtown and Brooklyn
A17,Uptown and The Bronx,Downtown and Brooklyn
A18,Uptown and The Bronx,Downtown and Brooklyn
A19,Uptown and The Bronx,Downtown and Brooklyn
A20,Uptown and The Bronx,Downtown and Brooklyn
A21,Uptown and The Bronx,Downtown and Brooklyn
A22,Uptown and The Bronx,Downtown and Brooklyn
A24,Uptown and The Bronx,Downtown and Brooklyn
A25,Uptown and The Bronx,Downtown and Brooklyn
A27,Uptown and The Bronx,Downtown and Brooklyn
A28,Uptown and The Bronx,Downtown and Brooklyn
A30,Uptown and The Bronx,Downtown and Brooklyn
A31,Uptown and The Bronx,Downtown and Brooklyn
A32,Uptown and The Bronx,Downtown and Brooklyn
A33,Uptown and The Bronx,Downtown and Brooklyn
A34,Uptown and The Bronx,Downtown and Brooklyn
A36,Uptown and The Bronx,Downtown and Brooklyn
A38,Uptown and The Bronx,Brooklyn
