stop_id,direction_id,direction_name
634,0,"Downtown and Brooklyn"
634,1,"Uptown and The Bronx"
635,0,"Downtown and Brooklyn"
635,1,"Uptown and The Bronx"
636,0,"Downtown and Brooklyn"
636,1,"Uptown and The Bronx"
637,0,"Downtown and Brooklyn"
637,1,"Uptown and The Bronx"
638,0,"Downtown and Brooklyn"
638,1,"Uptown and The Bronx"
639,0,"Downtown and Brooklyn"
639,1,"Uptown and The Bronx"
640,0,"Downtown and Brooklyn"
640,1,"Uptown and The Bronx"
701,0,"Manhattan"
701,1,"Flushing - Main St"
702,0,"Manhattan"
702,1,"Flushing - Main St"
705,0,"Manhattan"
705,1,"Flushing - Main St"
706,0,"Manhattan"
706,1,"Flushing - Main St"
707,0,"Manhattan"
707,1,"Flushing - Main St"
708,0,"Manhattan"
708,1,"Flushing - Main St"
709,0,"Manhattan"
709,1,"Flushing - Main St"
710,0,"Manhattan"
710,1,"Flushing - Main St"
711,0,"Manhattan"
711,1,"Flushing - Main St"
712,0,"Manhattan"
712,1,"Flushing - Main St"
713,0,"Manhattan"
713,1,"Flushing - Main St"
714,0,"Manhattan"
714,1,"Flushing - Main St"
715,0,"Manhattan"
715,1,"Flushing - Main St"
716,0,"Manhattan"
716,1,"Flushing - Main St"
718,0,"Manhattan"
718,1,"Flushing - Main St"
719,0,"Manhattan"
719,1,"Flushing - Main St"
720,0,"Manhattan"
720,1,"Flushing - Main St"
721,0,"Manhattan"
721,1,"Flushing - Main St"
723,0,"34 St - Hudson Yards"
723,1,"Queens"
724,0,"34 St - Hudson Yards"
724,1,"Queens"
725,0,"34 St - Hudson Yards"
725,1,"Queens"
726,0,"34 St - Hudson Yards"
726,1,"Queens"
901,0,"Times Square"
901,1,"Grand Central"
902,0,"Times Square"
902,1,"Grand Central"
A02,0,"Downtown and Brooklyn"
A02,1,"Inwood - 207 St"
A03,0,"Downtown and Brooklyn"
A03,1,"Inwood - 207 St"
A05,0,"Downtown and Brooklyn"
A05,1,"Inwood - 207 St"
A06,0,"Downtown and Brooklyn"
A06,1,"Inwood - 207 St"
A07,0,"Downtown and Brooklyn"
A07,1,"Inwood - 207 St"
A09,0,"Downtown and Brooklyn"
A09,1,"Inwood - 207 St"
A10,0,"Downtown and Brooklyn"
A10,1,"Inwood - 207 St"
A11,0,"Downtown and Brooklyn"
A11,1,"Inwood - 207 St"
A12,0,"Downtown and Brooklyn"
A12,1,"Uptown and The Bronx"
A14,0,"Downtown and Brooklyn"
A14,1,"Uptown and The Bronx"
A15,0,"Downtown and Brooklyn"
A15,1,"Uptown and The Bronx"
A16,0,"Downtown and Brooklyn"
